airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,departure_place,arrival_place,delay_cancellation,review_date
Aegean Airlines,1.0,False,Unknown,Family Leisure,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,+3 months,Paris,Athens,True,2024-04-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,2.0,1.0,2.56,1.0,1.0,1.0,1.0,no,1 month,Thessaloniki,Rome,True,2024-04-01
Aegean Airlines,1.0,True,A320,Family Leisure,Business Class,2.0,3.0,2.0,1.0,2.15,1.81,1.0,no,1 month,Athens,Barcelona,False,2024-03-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,Lisbon,Corfu,True,2024-03-01
Aegean Airlines,3.0,False,Unknown,Couple Leisure,Economy Class,3.0,1.0,3.0,1.0,4.0,4.0,2.0,no,1 month,Corfu,Athens,False,2024-03-01
Aegean Airlines,7.0,True,Others,Family Leisure,Economy Class,2.0,3.0,5.0,4.0,2.0,2.0,2.0,yes,1 month,Munich,Thessaloniki,False,2024-03-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,2.0,2.87,2.56,1.0,2.15,1.81,1.0,no,1 month,Athens,Tel aviv,False,2024-03-01
Aegean Airlines,9.0,False,Others,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,4.0,4.0,5.0,yes,1 month,London,Athens,False,2024-02-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,1 month,Frankfurt,Athens,False,2024-01-01
Aegean Airlines,1.0,False,Others,Couple Leisure,Economy Class,2.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Santorini,Crete,False,2023-12-01
Aegean Airlines,1.0,True,Others,Solo Leisure,Economy Class,1.0,3.0,2.0,1.0,2.0,2.0,1.0,no,1 month,Manchester,Athens,False,2023-12-01
Aegean Airlines,7.0,False,Unknown,Business,Economy Class,5.0,5.0,5.0,1.0,5.0,5.0,5.0,yes,1 month,Athens,Heraklion ,False,2023-12-01
Aegean Airlines,1.0,False,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Athens,Istanbul,False,2023-12-01
Aegean Airlines,4.0,False,Unknown,Solo Leisure,Economy Class,3.0,5.0,4.0,1.0,3.0,5.0,2.0,no,1 month,Athens,Thessaloniki,True,2023-11-01
Aegean Airlines,3.0,False,Unknown,Solo Leisure,Economy Class,1.0,4.0,2.0,1.0,2.15,3.0,2.0,no,1 month,Venice,Athens ,False,2023-11-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,4.0,yes,1 month,Athens,Warsaw,False,2023-10-01
Aegean Airlines,2.0,False,Unknown,Couple Leisure,Business Class,1.0,3.0,1.0,2.0,1.0,1.0,2.0,no,1 month,Santorini,Athens,True,2023-10-01
Aegean Airlines,1.0,False,Unknown,Family Leisure,Economy Class,1.0,1.0,3.0,1.0,2.0,1.81,1.0,no,1 month,Heraklion,Santorini,True,2023-10-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,3.0,3.0,1.0,3.0,1.0,1.81,1.0,no,+3 months,Athens,Heraklion ,True,2023-10-01
Aegean Airlines,9.0,True,Unknown,Couple Leisure,Economy Class,4.0,5.0,4.0,5.0,2.15,2.0,5.0,yes,1 month,Athens,London Heathrow,False,2023-10-01
Aegean Airlines,1.0,True,Unknown,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Mykonos,Athens,True,2023-09-01
Aegean Airlines,1.0,True,A320,Business,Business Class,1.0,2.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Venice,Athens,True,2023-09-01
Aegean Airlines,1.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,1 month,Warsaw,Athens,False,2023-09-01
Aegean Airlines,1.0,False,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Tirana,Seville,True,2023-09-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1 month,Athens,Chios,False,2023-09-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,3.0,3.0,2.15,5.0,1.0,no,1 month,Athens,Larnaca,True,2023-09-01
Aegean Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,3.0,4.0,4.0,1.0,1.0,1.81,2.0,no,1 month,Istanbul,Athens,True,2023-09-01
Aegean Airlines,9.0,True,Others,Family Leisure,Economy Class,3.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,1 month,Athens,Prague,False,2023-08-01
Aegean Airlines,6.0,False,Unknown,Couple Leisure,Economy Class,3.0,3.0,3.0,4.0,3.0,3.0,3.0,no,1 month,Athens,Bucharest,False,2023-08-01
Aegean Airlines,1.0,False,Unknown,Couple Leisure,Business Class,2.0,3.0,2.56,1.0,2.15,1.0,1.0,no,1 month,Yerevan,Heraklion,False,2023-08-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,Heraklion,Bologna,False,2023-08-01
Aegean Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,1 month,Tel Aviv,Santorini,False,2023-08-01
Aegean Airlines,5.0,False,Others,Couple Leisure,Business Class,2.0,3.0,3.0,1.0,1.0,2.0,3.0,no,1 month,Heraklion,Copenhagen,True,2023-08-01
Aegean Airlines,1.0,True,Unknown,Family Leisure,Economy Class,3.0,4.0,4.0,1.0,2.15,2.0,3.0,no,1 month,Athens,Larnaca,False,2023-08-01
